,articleWordCount,headline,snippet,tokens,label_headline
11,836,Cold Therapy? Maybe Better Save Your Money,"Whole body cryotherapy, which began with elite athletes, is going mainstream, but there’s little evidence it helps.","['cold', 'therapy', 'maybe', 'better', 'save', 'moneywhole', 'body', 'cryotherapy', 'began', 'elite', 'athletes', 'going', 'mainstream', 'little', 'evidence', 'helps']",Positive
12,1270,Shunned Stars of Steroid Era Are on Deck for Cooperstown,Some say it is hypocritical to continue rejecting former stars like Barry Bonds and Roger Clemens when nonplaying figures from that era have gotten in.,"['shunned', 'stars', 'steroid', 'era', 'deck', 'cooperstownsome', 'say', 'hypocritical', 'continue', 'rejecting', 'former', 'stars', 'like', 'barry', 'bonds', 'roger', 'clemens', 'nonplaying', 'figures', 'era', 'gotten']",Negative
13,279,Picking Up a Personal Thread at an Office Party,An acquaintance from work shares something astounding about himself at two festive gatherings years apart.,"['picking', 'personal', 'thread', 'office', 'partyan', 'acquaintance', 'work', 'shares', 'something', 'astounding', 'two', 'festive', 'gatherings', 'years', 'apart']",Positive
14,3361,Health Reform Could Outlast Repeal Efforts,"A transformation of the delivery of health care may be an enduring legacy for the president, even as Republicans plan to repeal the Affordable Care Act.","['health', 'reform', 'could', 'outlast', 'repeal', 'effortsa', 'transformation', 'delivery', 'health', 'care', 'may', 'enduring', 'legacy', 'president', 'even', 'republicans', 'plan', 'repeal', 'affordable', 'care', 'act']",Positive
15,677,"Mr. Trump, Bureaucracy Apprentice","Mr. Trump is already making big mistakes by underestimating his new employees, federal workers.","['mr', 'trump', 'bureaucracy', 'apprenticemr', 'trump', 'already', 'making', 'big', 'mistakes', 'underestimating', 'new', 'employees', 'federal', 'workers']",Positive
16,1152,House G.O.P. Votes to Gut an Office Reviewing Ethics,The move by emboldened Republicans on the eve of a new Congress would strip power and independence from an investigative body and give lawmakers control over ethics inquiries.,"['house', 'votes', 'gut', 'office', 'reviewing', 'ethicsthe', 'move', 'emboldened', 'republicans', 'eve', 'new', 'congress', 'would', 'strip', 'power', 'independence', 'investigative', 'body', 'give', 'lawmakers', 'control', 'ethics', 'inquiries']",Neutral
17,797,‘Right to Disconnect’ From Work Email and Other Laws Go Into Effect in France,"A raft of measures meant to balance modernity and tradition will make it easier to unplug from work email, protect the environment and get divorced.","['right', 'disconnect', 'work', 'email', 'laws', 'go', 'effect', 'francea', 'raft', 'measures', 'meant', 'balance', 'modernity', 'tradition', 'make', 'easier', 'unplug', 'work', 'email', 'protect', 'environment', 'get', 'divorced']",Positive
18,875,Lessons From the Tea Party,It’s a simple playbook: organize locally and play defense.,"['lessons', 'tea', 'partyit', 'simple', 'playbook', 'organize', 'locally', 'play', 'defense']",Neutral
19,638,All Talk,Michael Shteyman makes the call.,"['talkmichael', 'shteyman', 'makes', 'call']",Neutral
20,108,Winter Comforts,"What do you do to stay happy, productive and cozy during winter? What do you like about this season and what do you dislike?","['winter', 'comfortswhat', 'stay', 'happy', 'productive', 'cozy', 'winter', 'like', 'season', 'dislike']",Positive
21,805,The Snapchat Presidency,The next occupant (at least part time) of the White House won’t lead or communicate policy like a normal leader.,"['snapchat', 'presidencythe', 'next', 'occupant', 'least', 'part', 'time', 'white', 'house', 'lead', 'communicate', 'policy', 'like', 'normal', 'leader']",Positive
22,8022,The House at the End of the World,"How B.J. Miller, a doctor and triple amputee, used his own experience to pioneer a new model of palliative care at a small, quirky hospice in San Francisco.","['house', 'end', 'worldhow', 'miller', 'doctor', 'triple', 'amputee', 'used', 'experience', 'pioneer', 'new', 'model', 'palliative', 'care', 'small', 'quirky', 'hospice', 'san', 'francisco']",Neutral
23,1288,Power Down,"For much of American history, anti-elite sentiment was a matter of up versus down, not left versus right. The 20th century changed that.","['power', 'downfor', 'much', 'american', 'history', 'anti', 'elite', 'sentiment', 'matter', 'versus', 'left', 'versus', 'right', 'th', 'century', 'changed']",Positive
24,2350,"Fraud Culture Rises in India, Aiming at U.S.","The availability of computer-savvy, young, English-speaking job seekers and efficient technology have contributed to the growth in cyberfraud against Americans.","['fraud', 'culture', 'rises', 'india', 'aiming', 'sthe', 'availability', 'computer', 'savvy', 'young', 'english', 'speaking', 'job', 'seekers', 'efficient', 'technology', 'contributed', 'growth', 'cyberfraud', 'americans']",Positive
25,1049,"New York Today: New Year, New Commute","Tuesday: Commuting on the Second Avenue line, a New Year’s Eve jewelry heist, and the first subway ride.","['new', 'york', 'today', 'new', 'year', 'new', 'commutetuesday', 'commuting', 'second', 'avenue', 'line', 'new', 'year', 'eve', 'jewelry', 'heist', 'first', 'subway', 'ride']",Neutral
26,963,The Year of Conquering Negativity,"Constant negativity can get in the way of happiness, but with practice, you can learn to disrupt and tame negative cycles.","['year', 'conquering', 'negativityconstant', 'negativity', 'get', 'way', 'happiness', 'practice', 'learn', 'disrupt', 'tame', 'negative', 'cycles']",Negative
27,289,Questions for: ‘Leave Your Laptops at the Door to My Classroom’,How does a law school professor’s classroom rule help prepare his students for their careers?,"['questions', 'leave', 'laptops', 'door', 'classroomhow', 'law', 'school', 'professor', 'classroom', 'rule', 'help', 'prepare', 'students', 'careers']",Neutral
28,492,What Are Your Predictions for 2017?,"What do you think, or hope, might happen in the world this year?","['predictions', 'forwhat', 'think', 'hope', 'might', 'happen', 'world', 'year']",Neutral
29,947,Is Your Workout Not Working?,"People who don’t benefit from endurance workouts may get results from interval training, and vice versa, a new study suggests.","['workout', 'workingpeople', 'benefit', 'endurance', 'workouts', 'may', 'get', 'results', 'interval', 'training', 'vice', 'versa', 'new', 'study', 'suggests']",Neutral
30,1305,House G.O.P. Abandons Bid to Stifle Ethics Office,"Lawmakers, facing a storm of bipartisan criticism, including from President-elect Donald J. Trump, reversed their steps against the Office of Congressional Ethics.","['house', 'abandons', 'bid', 'stifle', 'ethics', 'officelawmakers', 'facing', 'storm', 'bipartisan', 'criticism', 'including', 'president', 'elect', 'donald', 'trump', 'reversed', 'steps', 'office', 'congressional', 'ethics']",Negative
31,213,Pregnancy: Pre-eclampsia and Eye Trouble,Women with pre-eclampsia had a higher rate of retinal detachment years later.,"['pregnancy', 'pre', 'eclampsia', 'eye', 'troublewomen', 'pre', 'eclampsia', 'higher', 'rate', 'retinal', 'detachment', 'years', 'later']",Neutral
32,1339,"A Fox News Pillar’s Jump to NBC Will Test Her, and the Networks","Ms. Kelly’s departure from Fox News will test her ability to connect with a broader audience, but the most significant implications concern the larger television news industry.","['fox', 'news', 'pillar', 'jump', 'nbc', 'test', 'networksms', 'kelly', 'departure', 'fox', 'news', 'test', 'ability', 'connect', 'broader', 'audience', 'significant', 'implications', 'concern', 'larger', 'television', 'news', 'industry']",Neutral
33,650,Wishful Thinkers,Roland Huget asks a rhetorical question.,"['wishful', 'thinkersroland', 'huget', 'asks', 'rhetorical', 'question']",Negative
34,823,Arms  and  the Trump,"Another day, another terrible shooting.","['arms', 'trumpanother', 'day', 'another', 'terrible', 'shooting']",Negative
35,1210,Leicester City Learns Magic Goes Only So Far,"Giddy disbelief settled among fans and around the team during the run to the Premier League championship last season. But months after the fact, the glow is fading.","['leicester', 'city', 'learns', 'magic', 'goes', 'fargiddy', 'disbelief', 'settled', 'among', 'fans', 'around', 'team', 'run', 'premier', 'league', 'championship', 'last', 'season', 'months', 'fact', 'glow', 'fading']",Positive
36,1575,"To Evaluate a Dog’s Smarts, Humans Pick Up New Tricks","Owners are increasingly interested in their pets’ intelligence, giving researchers eager recruits in the relatively new field of canine cognition.","['evaluate', 'dog', 'smarts', 'humans', 'pick', 'new', 'tricksowners', 'increasingly', 'interested', 'pets', 'intelligence', 'giving', 'researchers', 'eager', 'recruits', 'relatively', 'new', 'field', 'canine', 'cognition']",Positive
37,3637,A Second Empire by Trump’s Side,"As Donald J. Trump’s son-in-law prepares for a White House role, his undisclosed talks with a secretive Chinese company highlight potential conflicts of interest.","['second', 'empire', 'trump', 'sideas', 'donald', 'trump', 'son', 'law', 'prepares', 'white', 'house', 'role', 'undisclosed', 'talks', 'secretive', 'chinese', 'company', 'highlight', 'potential', 'conflicts', 'interest']",Neutral
38,62,A Little Variety,"A place to discuss the A Little Variety suite of puzzles, including this week’s Spelling Bee.","['little', 'varietya', 'place', 'discuss', 'little', 'variety', 'suite', 'puzzles', 'including', 'week', 'spelling', 'bee']",Positive
39,1215,Major Changes Loom for Corporate Taxes,"A plan from Republicans would focus on domestic cash flow instead of corporate income, and could have a huge effect on the path of the economy.","['major', 'changes', 'loom', 'corporate', 'taxesa', 'plan', 'republicans', 'would', 'focus', 'domestic', 'cash', 'flow', 'instead', 'corporate', 'income', 'could', 'huge', 'effect', 'path', 'economy']",Neutral
40,301,Variety: Acrostic,Emily Cox and Henry Rathvon seem to be hoping for an early spring.,"['variety', 'acrosticemily', 'cox', 'henry', 'rathvon', 'seem', 'hoping', 'early', 'spring']",Positive
41,1471,Russians Mock Meddling Charge as Unsupported,Russian politicians and commentators dismiss a report outlining what America’s top intelligence agencies view as an elaborate “influence campaign” aimed at skewing the presidential race.,"['russians', 'mock', 'meddling', 'charge', 'unsupportedrussian', 'politicians', 'commentators', 'dismiss', 'report', 'outlining', 'america', 'top', 'intelligence', 'agencies', 'view', 'elaborate', 'influence', 'campaign', 'aimed', 'skewing', 'presidential', 'race']",Positive
42,1808,How to Starve Online Hate,Many companies don’t know that their ads are appearing next to abhorrent content. Tell them.,"['starve', 'online', 'hatemany', 'companies', 'know', 'ads', 'appearing', 'next', 'abhorrent', 'content', 'tell']",Negative
43,640,Crime and Gratitude in New York,"Those responsible for the much safer city deserve kudos, though there still are hot spots that deserve more attention.","['crime', 'gratitude', 'new', 'yorkthose', 'responsible', 'much', 'safer', 'city', 'deserve', 'kudos', 'though', 'still', 'hot', 'spots', 'deserve', 'attention']",Positive
44,901,White House Red Scare,All this talk about Reds makes Trump see red and gives Washington the blues.,"['white', 'house', 'red', 'scareall', 'talk', 'reds', 'makes', 'trump', 'see', 'red', 'gives', 'washington', 'blues']",Positive
45,1884,The War That Killed Trust,"The legacy of the war still shapes America, even if most of us are too young to remember it.","['war', 'killed', 'trustthe', 'legacy', 'war', 'still', 'shapes', 'america', 'even', 'us', 'young', 'remember']",Negative
46,1205,"Yes, It’s Your Parents’ Fault",“Attachment theory“ finds new resonance in the age of smartphones.,"['yes', 'parents', 'faultattachment', 'theory', 'finds', 'new', 'resonance', 'age', 'smartphones']",Neutral
47,1572,For the Forgotten African-American Dead,Neglected black cemeteries deserve the same level of care that their Confederate counterparts get.,"['forgotten', 'african', 'american', 'deadneglected', 'black', 'cemeteries', 'deserve', 'level', 'care', 'confederate', 'counterparts', 'get']",Neutral
48,2267,The Future of The Times: A View From the Top,Change is coming to The New York Times. What will it mean for readers? The public editor sat down with the executive editor to find out.,"['future', 'times', 'view', 'topchange', 'coming', 'new', 'york', 'times', 'mean', 'readers', 'public', 'editor', 'sat', 'executive', 'editor', 'find']",Neutral
49,899,The Downsizing of Nathaniel Ames,Peter Broda and Erik Agard boil things down for us.,"['downsizing', 'nathaniel', 'amespeter', 'broda', 'erik', 'agard', 'boil', 'things', 'us']",Negative
50,4979,A Bond Over Bucking the Establishment,"An alliance with Donald J. Trump has paid off for Mr. Sessions in a fashion that few who know him ever imagined: Within days, he could be confirmed as attorney general.","['bond', 'bucking', 'establishmentan', 'alliance', 'donald', 'trump', 'paid', 'mr', 'sessions', 'fashion', 'know', 'ever', 'imagined', 'within', 'days', 'could', 'confirmed', 'attorney', 'general']",Positive
51,1806,‘La La Land’ Dominates With Record Wins,"The musical “La La Land” won a record seven awards, “Moonlight” won for best picture, drama, and Meryl Streep forcefully criticized Donald J. Trump.","['la', 'la', 'land', 'dominates', 'record', 'winsthe', 'musical', 'la', 'la', 'land', 'record', 'seven', 'awards', 'moonlight', 'best', 'picture', 'drama', 'meryl', 'streep', 'forcefully', 'criticized', 'donald', 'trump']",Positive
52,1399,Fury in Mexico’s Streets After Gas Prices Surge,Mexico already faces rising crime and a sluggish economy. Now it is bracing for Donald J. Trump’s threatened crackdown on immigration and trade.,"['fury', 'mexico', 'streets', 'gas', 'prices', 'surgemexico', 'already', 'faces', 'rising', 'crime', 'sluggish', 'economy', 'bracing', 'donald', 'trump', 'threatened', 'crackdown', 'immigration', 'trade']",Negative
53,487,Failure to Comb,Neville Fogarty reminds us of a basic rule of hygiene.,"['failure', 'combneville', 'fogarty', 'reminds', 'us', 'basic', 'rule', 'hygiene']",Negative
54,1345,‘All-Star.’ ‘Defendant.’  Both Soon on a Plaque?,It’s going to take some finesse to gussy up the fact that Barry Bonds and Roger Clemens would arrive at the Hall laden with suspicions of drug use.,"['star', 'defendant', 'soon', 'plaqueit', 'going', 'take', 'finesse', 'gussy', 'fact', 'barry', 'bonds', 'roger', 'clemens', 'would', 'arrive', 'hall', 'laden', 'suspicions', 'drug', 'use']",Negative
55,856,The Grim Reaper of Alabama,"As the state’s attorney general, his main concerns were that Alabamians weren’t being executed fast enough, or for enough types of crimes.","['grim', 'reaper', 'alabamaas', 'state', 'attorney', 'general', 'main', 'concerns', 'alabamians', 'executed', 'fast', 'enough', 'enough', 'types', 'crimes']",Positive
56,313,A Secret Squadron Agent at the Pushcart,Recalling a special moment with a neighborhood fixture.,"['secret', 'squadron', 'agent', 'pushcartrecalling', 'special', 'moment', 'neighborhood', 'fixture']",Neutral
57,708,"What Are You Hiding, Jeff Sessions?","As attorney-general confirmation hearings begin for a man the Senate considered too racist to be a federal judge, Democrats must put up a real fight.","['hiding', 'jeff', 'sessionsas', 'attorney', 'general', 'confirmation', 'hearings', 'begin', 'man', 'senate', 'considered', 'racist', 'federal', 'judge', 'democrats', 'must', 'put', 'real', 'fight']",Negative
58,1466,"For Assange, a 10-Year Vision of Toppling Power Is a Reality","In a 2006 essay, Mr. Assange, the founder of WikiLeaks, outlined the politically disruptive potential of technology. Hillary Clinton’s loss might be a realization of his vision.","['assange', 'year', 'vision', 'toppling', 'power', 'realityin', 'essay', 'mr', 'assange', 'founder', 'wikileaks', 'outlined', 'politically', 'disruptive', 'potential', 'technology', 'hillary', 'clinton', 'loss', 'might', 'realization', 'vision']",Negative
59,1277,Strikes by Russia  Buttress Turkey  in Battle vs. ISIS,The deepening partnership between Russia and Turkey could marginalize the United States in the struggle to shape Syria’s future.,"['strikes', 'russia', 'buttress', 'turkey', 'battle', 'vs', 'isisthe', 'deepening', 'partnership', 'russia', 'turkey', 'could', 'marginalize', 'united', 'states', 'struggle', 'shape', 'syria', 'future']",Negative
60,1031,You Only Turn 40 One Time,"Cate Blanchett stars in this Sydney Theater Company production of a Chekhov work, which features an eruption of runaway hedonism at a birthday party.","['turn', 'one', 'timecate', 'blanchett', 'stars', 'sydney', 'theater', 'company', 'production', 'chekhov', 'work', 'features', 'eruption', 'runaway', 'hedonism', 'birthday', 'party']",Neutral
61,954,"‘The Affair’ Season 3, Episode 7: There’s a Monster in the Basement",Noah hit the rockiest of rock bottoms in Sunday night’s “The Affair.”,"['affair', 'season', 'episode', 'monster', 'basementnoah', 'hit', 'rockiest', 'rock', 'bottoms', 'sunday', 'night', 'affair']",Negative
62,1105,"When a Beast Awakens, the Giants Go Into Hibernation","After a trip to sunny Miami raised eyebrows, the Giants’ receivers landed with a thud in chilly Green Bay.","['beast', 'awakens', 'giants', 'go', 'hibernationafter', 'trip', 'sunny', 'miami', 'raised', 'eyebrows', 'giants', 'receivers', 'landed', 'thud', 'chilly', 'green', 'bay']",Negative
63,783,Deficits  Matter  Again,Why the Trump-Putin economy isn’t like Obama’s.,"['deficits', 'matter', 'againwhy', 'trump', 'putin', 'economy', 'like', 'obama']",Positive
64,2125,Is Humanism Really Humane?,"The idea of the “human” has brought us human rights, but it’s not enough to ensure justice.","['humanism', 'really', 'humanethe', 'idea', 'human', 'brought', 'us', 'human', 'rights', 'enough', 'ensure', 'justice']",Positive
65,849,Erasing President Obama,The people who stand to lose most are Trump supporters.,"['erasing', 'president', 'obamathe', 'people', 'stand', 'lose', 'trump', 'supporters']",Neutral
66,1595,Michelle Obama’s Turn,"The “mom in chief” charmed late-night hosts and hula-hooped with kids, but she wasn’t her full self in public.","['michelle', 'obama', 'turnthe', 'mom', 'chief', 'charmed', 'late', 'night', 'hosts', 'hula', 'hooped', 'kids', 'full', 'self', 'public']",Neutral
67,807,The Age  of Fake  Policy,Hyping the trivial obscures reality.,"['age', 'fake', 'policyhyping', 'trivial', 'obscures', 'reality']",Negative
68,821,The Home Buying Decision,Choosing where you rest your head is a story of falling in love and knowing yourself.,"['home', 'buying', 'decisionchoosing', 'rest', 'head', 'story', 'falling', 'love', 'knowing']",Neutral
69,119,Dabbing in Congress,"Is Cal a spoiled brat who ruined one of the biggest days of his father’s life, or a true American hero who saw his opportunity and seized it?","['dabbing', 'congressis', 'cal', 'spoiled', 'brat', 'ruined', 'one', 'biggest', 'days', 'father', 'life', 'true', 'american', 'hero', 'saw', 'opportunity', 'seized']",Negative
70,342,Questions for: ‘India’s Call-Center Talents Put to a Criminal Use: Swindling Americans’,What are the motivations behind international phone scams?,"['questions', 'india', 'call', 'center', 'talents', 'put', 'criminal', 'use', 'swindling', 'americanswhat', 'motivations', 'behind', 'international', 'phone', 'scams']",Negative
71,673,"How Should Opponents Receive the New President — With an Open Mind and Honor for the Office, or With Defiance and Rejection?","For those people who are alarmed by Mr. Trump’s rhetoric and expressed values, what is the proper response?","['opponents', 'receive', 'new', 'president', 'open', 'mind', 'honor', 'office', 'defiance', 'rejectionfor', 'people', 'alarmed', 'mr', 'trump', 'rhetoric', 'expressed', 'values', 'proper', 'response']",Neutral
72,907,How the Qing Court Sowed the Seeds of Environmental Protection in China,"Jonathan Schlesinger, the author of “A World Trimmed With Fur,” discusses the Qing dynasty’s resource management and its influence on conservation in modern China.","['qing', 'court', 'sowed', 'seeds', 'environmental', 'protection', 'chinajonathan', 'schlesinger', 'author', 'world', 'trimmed', 'fur', 'discusses', 'qing', 'dynasty', 'resource', 'management', 'influence', 'conservation', 'modern', 'china']",Positive
73,1503,"Friday Mailbag: Taunts, Hoaxes, Anonymity and Stealth",Should The Times have added a note to an updated story? And was a child’s taunt truly populist — or was it just plain old bigotry?,"['friday', 'mailbag', 'taunts', 'hoaxes', 'anonymity', 'stealthshould', 'times', 'added', 'note', 'updated', 'story', 'child', 'taunt', 'truly', 'populist', 'plain', 'old', 'bigotry']",Negative
74,2244,Year of  the Renter,Incentives abound as New York City landlords cope with a softening market.,"['year', 'renterincentives', 'abound', 'new', 'york', 'city', 'landlords', 'cope', 'softening', 'market']",Positive
75,414,Teaching With: ‘Midnight Three & Six’,This short documentary shows a mother’s efforts to manage her daughter’s daily struggle with a life-threatening condition: Type I diabetes.,"['teaching', 'midnight', 'three', 'sixthis', 'short', 'documentary', 'shows', 'mother', 'efforts', 'manage', 'daughter', 'daily', 'struggle', 'life', 'threatening', 'condition', 'type', 'diabetes']",Negative
76,1507,Grabbing Card Bonuses Before Banks Pull Them,"Even if you thought you’d had enough of card-hopping, you might consider grabbing one of those eye-popping sign-up bonuses.","['grabbing', 'card', 'bonuses', 'banks', 'pull', 'themeven', 'thought', 'enough', 'card', 'hopping', 'might', 'consider', 'grabbing', 'one', 'eye', 'popping', 'sign', 'bonuses']",Positive
77,909,The Japanese Art of Grieving a Miscarriage,We knew miscarriage was common. But why wasn’t there anything people did when it happened?,"['japanese', 'art', 'grieving', 'miscarriagewe', 'knew', 'miscarriage', 'common', 'anything', 'people', 'happened']",Negative
78,1831,"As Trump Denies Climate Change, These Kids Die",Droughts caused by global warming have left southern Africa starved for food.,"['trump', 'denies', 'climate', 'change', 'kids', 'diedroughts', 'caused', 'global', 'warming', 'left', 'southern', 'africa', 'starved', 'food']",Neutral
79,395,"Some Assembly Required, but Worth It","These Scandinavian morsels are just about the most perfect thing you could make on a cold, wet evening.","['assembly', 'required', 'worth', 'itthese', 'scandinavian', 'morsels', 'perfect', 'thing', 'could', 'make', 'cold', 'wet', 'evening']",Positive
80,1606,"Putin Led Scheme to Aid Trump, Report Says","U.S. intelligence agencies presented their unanimous conclusions to Donald J. Trump, bringing the leaders of these agencies face to face with their most vocal skeptic, the president-elect.","['putin', 'led', 'scheme', 'aid', 'trump', 'report', 'saysu', 'intelligence', 'agencies', 'presented', 'unanimous', 'conclusions', 'donald', 'trump', 'bringing', 'leaders', 'agencies', 'face', 'face', 'vocal', 'skeptic', 'president', 'elect']",Positive
81,1122,Rumors of Hillary Clinton’s Comeback,Donald Trump only thought he got rid of her.,"['rumors', 'hillary', 'clinton', 'comebackdonald', 'trump', 'thought', 'got', 'rid']",Neutral
82,1289,Jobs Well Done? How Obama Compares With Predecessors,"Comparing his performance with that of other presidents: Things could have been much worse, and at the start, they were.","['jobs', 'well', 'done', 'obama', 'compares', 'predecessorscomparing', 'performance', 'presidents', 'things', 'could', 'much', 'worse', 'start']",Neutral
83,1363,Agreement Would Close Indian Point Nuclear Power Plant by 2021,"The shutdown has been a long-held priority for Gov. Andrew M. Cuomo, who has said the plant poses too great a risk to New York City, less than 30 miles to the south.","['agreement', 'would', 'close', 'indian', 'point', 'nuclear', 'power', 'plant', 'bythe', 'shutdown', 'long', 'held', 'priority', 'gov', 'andrew', 'cuomo', 'said', 'plant', 'poses', 'great', 'risk', 'new', 'york', 'city', 'less', 'miles', 'south']",Neutral
84,878,Trump’s Anti-C.I.A. Crusade,His attacks on the agency aren’t just bad for the agency. They threaten our national security.,"['trump', 'anti', 'crusadehis', 'attacks', 'agency', 'bad', 'agency', 'threaten', 'national', 'security']",Negative
85,679,"Into a World of Fantasy, Where the Sorcerers Take Center Stage","The action in this piece at the Under the Radar festival unfolds both on a screen and below it, as you watch illusion-makers work with video, shadow puppets and scrims.","['world', 'fantasy', 'sorcerers', 'take', 'center', 'stagethe', 'action', 'piece', 'radar', 'festival', 'unfolds', 'screen', 'watch', 'illusion', 'makers', 'work', 'video', 'shadow', 'puppets', 'scrims']",Negative
86,1166,The Dangers of Safety Equipment,Can rugby tacklers teach N.F.L. players how to improve their behavior?,"['dangers', 'safety', 'equipmentcan', 'rugby', 'tacklers', 'teach', 'players', 'improve', 'behavior']",Positive
87,603,Giving Mr. Trump’s Nominees a Pass,Some of Mr. Trump’s wealthy nominees are trying to do an end-run around federal conflict of interest rules.,"['giving', 'mr', 'trump', 'nominees', 'passsome', 'mr', 'trump', 'wealthy', 'nominees', 'trying', 'end', 'run', 'around', 'federal', 'conflict', 'interest', 'rules']",Positive
88,922,Instagram Explore,Lurking inside the bland smartphone is a fire hose of peculiarity that can be blasted open whenever you choose.,"['instagram', 'explorelurking', 'inside', 'bland', 'smartphone', 'fire', 'hose', 'peculiarity', 'blasted', 'open', 'whenever', 'choose']",Negative
89,758,A Middle Eastern Layer Cake for Dinner,"Learning to make maqluba — a dish of meat, vegetables and spiced rice — in Sunset Park, Brooklyn.","['middle', 'eastern', 'layer', 'cake', 'dinnerlearning', 'make', 'maqluba', 'dish', 'meat', 'vegetables', 'spiced', 'rice', 'sunset', 'park', 'brooklyn']",Neutral
90,3564,Swan Song,"A trip up the Thames to see a centuries-old custom and, perhaps, find out what it means to call a country home.","['swan', 'songa', 'trip', 'thames', 'see', 'centuries', 'old', 'custom', 'perhaps', 'find', 'means', 'call', 'country', 'home']",Neutral
91,1166,Every Extra Penny Counts,"Approved in 2015, stipends are meant to help pay for the full cost of attending college, and athletes make the most of them, often sending the money home.","['every', 'extra', 'penny', 'countsapproved', 'stipends', 'meant', 'help', 'pay', 'full', 'cost', 'attending', 'college', 'athletes', 'make', 'often', 'sending', 'money', 'home']",Neutral
92,1521,"On Inauguration, Marching Band Takes a Stand","The president of Talladega College issued a statement arguing, in essence, that the presidential inauguration is about something bigger than Donald J. Trump.","['inauguration', 'marching', 'band', 'takes', 'standthe', 'president', 'talladega', 'college', 'issued', 'statement', 'arguing', 'essence', 'presidential', 'inauguration', 'something', 'bigger', 'donald', 'trump']",Positive
93,687,Is Single-Sex Education Still Useful?,"With the emergence of new ideas about the fluidity of gender identity, do single-sex schools still make sense?","['single', 'sex', 'education', 'still', 'usefulwith', 'emergence', 'new', 'ideas', 'fluidity', 'gender', 'identity', 'single', 'sex', 'schools', 'still', 'make', 'sense']",Neutral
94,232,Body: Anemia Tied to Hearing Loss,The risk for hearing loss was nearly two and a half times as high in those who were deficient in iron.,"['body', 'anemia', 'tied', 'hearing', 'lossthe', 'risk', 'hearing', 'loss', 'nearly', 'two', 'half', 'times', 'high', 'deficient', 'iron']",Negative
