articleWordCount,headline,snippet
1521,"On Inauguration, Marching Band Takes a Stand","The president of Talladega College issued a statement arguing, in essence, that the presidential inauguration is about something bigger than Donald J. Trump."
687,Is Single-Sex Education Still Useful?,"With the emergence of new ideas about the fluidity of gender identity, do single-sex schools still make sense?"
232,Body: Anemia Tied to Hearing Loss,The risk for hearing loss was nearly two and a half times as high in those who were deficient in iron.
1047,New York Today: Becoming a New Yorker,"Thursday: How to define a New York identity, snow on the way, and taxis by the numbers."
1060,"From a Fateful Motorcade, a View of an American Divide","I know what it’s like “to stand on the side of a road in your own country, watching the shiny vehicles filled with important people, encased in air conditioning, as they speed by.”"
1007,"Social-Media Rules, Created by Kids","While parents sometimes impose guidelines, the most important ones are those that children make. They are often unspoken and can be dizzying."
1173,"Feed Children Peanuts Early, Doctors Advise",Parents should feed babies foods containing peanut powders or peanut butter at 6 months or even earlier as a way to help avoid peanut allergies.
803,"To Predict Gentrification, Look for Falling Crime",Violent crime was a major factor pushing people out of cities a few decades ago. Now its decline appears to be inviting them back in.
919,The Motto That Won Out,"The Times offered $100 to the reader who could write a better motto than, “All the News That’s Fit to Print,” then decided that no one could."
1574,‘Chocolate Found to Stave Off Death!’ Analyzing the Scientific Evidence Behind Health Headlines,"In this lesson plan, students develop analytical thinking skills by taking a critical look at health reporting while weighing reliability and relative significance."
726,"Paraguay and Venezuela, Together at the Table","The cuisines of two nations coexist nicely in the arepas, empanadas and chipa at a new restaurant in Woodside."
866,Packers’ Playoff Miseries as Memorable as Any Title,"Four of Green Bay’s seven playoff eliminations under Coach Mike McCarthy have come in overtime, and a fifth was on a last-second field goal."
1326,Is Your Cocktail Making You Sick?,"An office party, a violent illness and a medical mystery solved."
1303,Bipartisan Voices Back U.S. Agencies on Russia Hacking,"In a hearing, top intelligence officials and senators of both parties pushed back forcefully in a display that seemed directed solely at President-elect Donald J. Trump."
592,"First Comes Love, Then Mortality",The married performers Shaun and Abigail Bengson fall in love and contemplate mortality in this concert-style memoir at the Under the Radar festival.
575,"Strangers in an Audience, Healing One Another","The play, by the company 600 Highwaymen, incorporates audience members to deliver a meditation on human connection."
746,3 New Jersey Lawmakers Feel Shortchanged by Port Authority’s 10-Year Plan,"New Jersey lawmakers objected to the amount allocated for a new bus terminal, while airport projects backed by Gov. Andrew M. Cuomo of New York were approved."
28,Skunks in the City,An exchange between parent and child about a ubiquitous Manhattan odor.
1010,Might Clinton Run Against de Blasio? An Unlikely Idea Has People Talking,"From political circles in New York City to cocktail parties on Capitol Hill, two of the biggest untethered threads in New York politics are being drawn together around a single question."
1098,"Department Stores, Once Anchors at Malls, Become Millstones","Macy’s and Sears have recently announced numerous closings, reflecting a climate in which online and discount retailers have outmaneuvered them."
596,Mr. Trump Casts Intelligence Aside,Why is he trying to undermine organizations meant to keep the country safe?
574,Numbers Game,Jacob Stulberg shoots us to outer space.
964,Who’s Really Limiting Free Speech?,"At state schools, micromanaging legislators pose a much greater danger than political correctness."
847,Trump and the Tainted  Presidency,A hostile foreign power got its way.
992,What to Watch For in Washington: Confirmation Hearings and Trump Meeting the Press,"A packed week in politics lies ahead, with Senate hearings, the president’s farewell speech and — maybe — a news conference from the president-elect."
1366,Where Homelessness Can Be a Crime,"Activists and homeless people are waging public campaigns and court fights against local laws that ban urban camping, as some politicians urge a “zero tolerance” policy."
387,"What’s Going On in This Picture? | Jan. 9, 2017","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1104,Curbing Our Digital Dependence,Moderation in our digital world should be the hallmark of a healthy relationship with technology.
972,New York Reveals Deal to Close a Nuclear Plant,"The plant, with a capacity corresponding to about a fourth of the power consumed by New York City and Westchester County, will be shut down by April 2021, Gov. Andrew M. Cuomo said."
1101,How Emotion Over Pet Care Helps Explain Human Health Spending,“The emotional nature of the treatment decision may be important in explaining high and sometimes heroic end-of-life health care spending.”
456,Do You Watch Hollywood Awards Ceremonies?,How interested are you in entertainment industry awards and the ceremonies at which they are given?
824,"After Playoff Loss, Giants Hope They’re Only Young Once",The receivers’ ill-advised boat trip and mental and other errors in Sunday’s game were just signs of the Giants’ inexperience and immaturity.
1553,A Slower Pace for the ‘Galloping Gourmet’,"Graham Kerr, now 82, recalls a life of big leaps, from irreverent indulgence to health zealotry to, finally, moderation."
1293,"Believe It or Not, a FIFA Plan That Could Benefit the Game","FIFA will be accused of trying to fix something that isn’t broken, and the details may prove tricky, but every confederation will benefit by expansion in some way."
1244,Son-in-Law Is Set to Be Key Adviser in Trump Office,"The move cements Mr. Kushner’s role as a powerful and at times decisive influence on Mr. Trump, his father-in-law."
1564,Women’s March Opens a Raw Dialogue on Race,"Conversations surrounding the march on Jan. 21, the day after Donald J. Trump’s inauguration, are alienating some women even as organizers stress unity and inclusion."
835,What the Soldiers and Sailors May Have Seen,This show is a jaunty foray into a little-known footnote in American military history.
182,"Left Behind at a Bus Stop, but Not for Long",A driver makes up for a hasty departure with a quick trip around the block.
1282,"Cuomo Raises Profile, Stirring Talk of ’20 Run","Though it’s premature to pick a front-runner for the next presidential race, there is reason to speculate about a possible bid by the governor of New York."
1190,VW Executive’s Trip Let F.B.I. Pounce,"Federal agents arrested Oliver Schmidt, a top Volkswagen official now charged in the emissions scandal, as he prepared to depart Miami for Germany on Saturday night."
846,Disc-Flipper,David Poole is playing games with us.
1061,Clemson Stops Time and Tide,The No. 2 Tigers scored a touchdown in the final seconds to defeat No. 1 Alabama and avenge a loss in last year’s title game.
57,Dancers in Masks,What’s the story behind this photo? Use your imagination to write the opening of a short story or news report inspired by this image.
822,Bannon  vs. Trump,The larger battle is over whether the Republican Party as a whole will become an ethno-populist party.
857,The D.N.C. Hack Was Just the Start,"Unless we realize how vulnerable our democracy is, we are playing into the hands of foreign aggressors like Vladimir Putin."
765,Republican Hypocrisy on Trump’s Nominees,Mitch McConnell used to be demanding when it came to presidential nominees. How times have changed.
803,The Fight for Health Care Has Begun,"Democrats are off to a decent start, but they can do more. So can you."
547,Big Worries About Betsy DeVos,"As the Senate races to confirm Mr. Trump’s nominees, wealthy nominees with potential business conflicts have not made adequate financial disclosures."
374,Questions for: ‘A Month Without Sugar’,What happens when a Times reporter attempts to eliminate added sugar for a month?
1107,FIFA to Expand the World Cup and Its Coffers,"The move, pushed by the group’s president as a chance to increase fan engagement, is expected to bring an additional $1 billion every four years."
1355,Should We Trash Cash?,"Economists lament the ways that physical currency enables tax avoidance and crime. But for most people, cash offers an increasingly rare form of freedom."
545,What Will You Remember About President Obama and His Legacy?,"How will you remember Barack Obama, as both a man and a leader?"
1592,Cover Story,Cultivating real diversity can be hard. America’s institutions often turn to an easier tactic: faking it.
4196,The List,"He has the names of more than a million supposed drug dealers and corrupt officials in the Philippines. In this violent new drug war, who is determining who dies?"
981,New York Today: What’s Next for the Rockefeller Center Christmas Tree?,"Tuesday: A new home for the famous conifer, a lecture for dog enthusiasts, and Wi-Fi on the subway."
830,It’s Streep  vs. Trump  for America,"Americans have been duped by a showman. But to unseat him, liberals must reckon with how they lost sight of their country."
137,"Weekly News Quiz | Jan. 1-9, 2017",Have you been following the news? Take our quiz to see what you know and to learn more.
1120,"Title Is a Surprise, but Not to Clemson","After beating Alabama, 35-31, on Monday night, the Tigers are national champions for the first time in 35 years. “It was just a matter of time,” the quarterbacks coach Brandon Streeter said."
1090,Prisons for Profit May Cost Society,"Privatization is being portrayed as a surefire way to deliver better services for less public money, but a body of economics suggests this belief is false."
828,"Not ‘She Said, He Said.’ Mockery, Plain and Simple.",Meryl Streep called Donald Trump out for making fun of a disabled reporter. Times coverage of her speech seemed to let him off the hook.
1682,Fox News Paid O’Reilly Accuser to Keep Quiet,"When Juliet Huddy rebuffed advances by Mr. O’Reilly, he tried to derail her career, according to a draft of a letter from her lawyers obtained by The New York Times."
1019,Leadership From Top? Not Here,Behavior like Rose’s mysterious absence on Monday tends to spring up in organizations when the negligence comes from the top down.
1541,Rye Rises Again,"Chefs and bakers are embracing the bumpy, nutty and fragrant breads of northern Europe."
1160,Flavor With an Artistic Bent,"In discs and cubes, the team behind Estela constructs dishes as intriguing (and satisfying) as the art on display."
879,Seven Questions About Repealing Obamacare,Vague promises are not enough when we are considering enormous changes in our $3 trillion medical economy.
210,Pregnancy: Heartburn Drugs and Asthma,"Taking drugs like Pepcid, Tagamet, Prilosec and Nexium during pregnancy may increase the risk of asthma in offspring."
552,Gifts From Dad,"In this autobiographical show, written by and starring David Deblinger, the actor explores his filial relationship and plays a cast of characters."
1254,Trump Was Told of Claims Russia Has Damaging Details on Him,The material was considered so potentially explosive that the intelligence agencies decided that the president and the president-elect needed to be told and that the agencies were actively investigating it.
178,That’s What You Get for Putting Your Sneakers in the Dryer,Watching what happens after a man commits a laundromat faux pas.
1246,Pillar of Yankees Seems an Afterthought for the Hall,"Based on ballots made public, Posada, the stalwart catcher of four Yankees title teams, has not received the level of support he’ll need to stay in consideration for enshrinement."
678,Not in a Knot,Peter A. Collins goes serpentine.
129,Offbeat Interests,"What offbeat or unique interests do you have now, or did you have as a child?"
872,Online  and Scared,A critical mass of our interactions has moved to a realm where we’re all connected but no one’s in charge.
792,Kellyanne’s Dark Magic,Donald Trump’s cheeriest defender is a political wonder.
550,Republican Dissension on Obamacare,A few more sensible members of the party are now trying to slow down this runaway train.
1373,"My Life With Paralysis, It’s a Workout",I found that my daily routine is less subject to scrutiny if I simply describe it as health maintenance.
1505,A Fix for Gender Bias in Health Care? Check,"At Johns Hopkins Hospital, a simple checklist virtually erased a disparity in treatment between men and women."
329,Questions for: ‘On Being a Black Female Math Whiz During the Space Race’,What was life like for three black female mathematicians working for NASA during the early 1960s?
667,Sue Fulton Thinks Equal Rights Make the Military Stronger,The West Point graduate and chairwoman of the U.S. Military Academy Board of Visitors on why it’s not a “social experiment” to work alongside L.G.B.T. people.
1493,What Should I Do About a Physician Who May Be a Quack?,The magazine’s Ethicist columnist on whether to report a doctor who gives many of her patients the same diagnosis and whether to help a daughter’s boyfriend with his college debts.
481,How Good Is Your Sense of Direction?,"Do you get lost easily? Or, can you usually find your way around a new place without much trouble?"
8494,Us and Them,New research shows they shared many behaviors that we long believed to be uniquely human. Why did science get them so wrong?
192,How to Be Mindful by the Fire,The crackle and aromas from your fireplace offer a warm moment of mindfulness this winter.
867,‘Weekend Warriors’ Live Longer,Compressing your workouts into one or two days a week can still have substantial benefits.
1140,New York Today: Central Park’s Newest Wheels,"Wednesday: A new crew of electric garbage carts, City Bike safety lights, and women barred from smoking."
810,"Economists Worry About Trump, and Their Relevance","In a meeting in Chicago, a fear that their advice will be ignored — and that the new administration’s policies could court economic disaster."
1291,Britain’s left turn  to a dead end for social democracy,Social democracy is dying in Britain.
1725,Partisanship Is the Real Story Behind the Fake News,"Increasing tribalism goes beyond perceptions of news; it imperils the government’s ability to function and democracy itself, researchers say."
1520,A Family Trust for Businesses May Fall Short,"Mr. Trump will hand his business empire to a trust controlled by his oldest sons, a move the director of the Office of Government Ethics said was not enough."
1051,Talking With Both Daughters and Sons About Sex,"When parents talk about sex with their teenagers, they tend to view boys as playing offense and girls playing defense."
268,‘What’s the Difference Between the National Debt and the Federal Deficit?’,"“And how can the national debt be up by 88 percent while the federal deficit is down by 58 percent?” Patricia Cohen, a Times reporter, explains."
1100,Door Opens to Hinterlands of Soccer,"In countries in Africa, Asia and the Caribbean, the expansion was seen as an opportunity for smaller federations to play on the world stage someday."
1181,"Looking to Tune In to Catch Women’s Tennis? For Now, Better Get Creative",Fans seeking matches in the opening days of the season have been confounded by changes in the WTA tour’s streaming and television platforms.
1666,Former Attorney General to Lead an Attack on Republican Gerrymandering,"Backed by President Obama, Mr. Holder will lead the National Democratic Redistricting Committee, a group aimed at breaking the Republican Party’s grip on the congressional map."
243,Cancer: Mammograms’ Downside,"A Danish study found that routine mammograms do not reduce the incidence of advanced tumors, and can lead to overdiagnosis."
3351,Text to Text: Comparing Jewish Refugees of the 1930s With Syrian Refugees Today,We pair a Times article about the historical resonance of Europe’s refugee crisis with an excerpt from “Defying the Nazis” that chronicles one American couple’s relief and rescue mission in 1939.
214,Mind: Diet May Help the Brain,"Aging can shrink the brain, but older men and women who ate a Mediterranean-style diet had less loss of brain volume than those not following the diet."
1233,The Glare Varies for Two Actors,Some in Hollywood see a double standard in the awards season treatment of Casey Affleck and Nate Parker.
165,Finding Redemption in a Second Banana,Realizing that a piece of fruit could be a temporary psychological balm.
781,The Coming Health Care Crisis,After years of attacking Obamacare they still aren’t ready to repeal it. They’re about to do so anyway.
549,Stock Figure,This is the puzzle that Ed Sessa built.
193,Questions for: ‘When Water Balloons Hit a Bed of Nails and Don’t Pop’,"What is maximal deformation, or “pancake bouncing”?"
80,In Your Head,What do you think this image is saying? How does it relate to your own life?
1139,The Anti-Inauguration,Augment your outrage with actions that are affirming.
2276,What Does Your Party Want?,"As allegiances shift, neither Republicans nor Democrats are really sure."
801,The G.O.P.  Health  Hoax,Republicans plan to replace Obamacare with TBD.
1419,Why Rural America Voted for Trump,People in red counties resent the attention cities get — and don’t care for liberals.
812,Trump Reality Politics,It’s here and it can’t be canceled for four years.
482,China Rates the Best Toilets for Tourists (and Tells the Laggards to Clean Up),"The country is making an effort to build, expand and renovate 100,000 toilets in scenic areas and along tourist routes."
136,The Sketch Guy’s Most Valued Lessons Still Sting. How About Yours?,This acknowledgment is also an invitation for readers to share the experiences that produced their hardest-won wisdom.
1087,Seeing America Through Ángel Franco’s Eyes,"Dan Barry, whose “This Land” column explores obscure and well-known corners of the United States, reflects on his collaboration with the photographer Ángel Franco."
1130,Senate G.O.P. Opens Fight  Over Obama Health Law,"President Obama made a rare trip to Capitol Hill to defend the Affordable Care Act, as the Republican-led Congress took the first step toward undoing significant parts of it."
495,"Being Back in Black,  in a White Snowscape",Nothing much happens in this Under the Radar festival play about mellow headbangers by Philippe Quesne. But it’s a wonderful nothing.
884,A Modern Manchurian Candidate?,The onus is on the president-elect to prove he’s not Putin’s puppet.
820,Ode to Obama,You don’t know what you’ve got till it’s gone.
999,Bold Promise Hard to Keep on Health Act,"Health policy involves major trade-offs. So far, Donald J. Trump has declined to specify what his might be."
61,Old Men,A poem about days passed outside the house.
795,"Trump, Sex and Lots  of Whining",Meet the luckiest victim in the world.
685,A Day of Dodges and Distractions: Donald Trump’s Made-for-TV Promises,"Asked to address serious ethical questions, the president-elect instead offers a television spectacle."
971,Able to Handle Any Kind of Pressure,"Nothing seems to faze the rookie quarterback, who will lead Dallas against the Green Bay Packers in a divisional playoff game Sunday."
811,How Things Typically Are,Joe Krozel makes a puzzle just for me.
77,Device Addiction?,"As a society, are we too addicted to our devices? Are you personally “hooked” on your smartphone?"
1467,Silicon Valley Takes a Right Turn,"Microsoft, Facebook, Google and Amazon used their PACs to support Republican Congressional candidates more than Democratic ones in 2016."
827,A Website Peddling Girls for Sex,The authorities are making progress in restricting a website as a medium for sex trafficking.
843,Giving Up Sex to Give Blood,The F.D.A.’s policy for men who have sex with men is outdated and should be rescinded.
1892,A Chance to Meet and to Forgive,A prison program in Kansas allowed the parents of a college student killed by a drunken driver to meet the man who had upended their lives.
1170,2016 in Charts. (And Can Trump Deliver in 2017?),The numbers show a strong economy in 2016. Will Trump really make good on his pledges to the people who elected him in the coming year?
107,Tantrum on the No. 2,A young boy lets his parents know he has a different line in mind.
1334,Trump Signals Readiness for Battle Over Trade,Robert Lighthizer shares a view with the president-elect that the United States has prioritized the ideal of free trade over its own self-interest.
680,House Fires at Ethics and Shoots Self,"A G.O.P. plan to gut an ethics office fell apart, but it revealed to an outraged public that Republicans never intended to drain the swamp."
518,Open Many Doors,Samuel Donaldson makes us say “Ah.”
1267,Personal Touch Proves a Winning One,"In six months as manager, Conte has transformed the club, which will be playing for a record 14th consecutive Premier League victory on Wednesday."
940,Why Vera Rubin Deserved a Nobel,"And why, despite discovering dark matter, she didn’t win one."
1592,A Bipartisan Reason to Save Obamacare,The law is leading a health care transformation even Republicans like.
848,From Hands to Heads  to Hearts,Remembering what makes us human is how to show economic value in the age of smarter and smarter machines.
839,The Necessity of the Filibuster,"Democrats restricted the tactic in 2013, when they were the majority. Now Republicans may undermine it more."
101,Fascinating Animals,"What animal fascinates you the most? Whether it is a species you encounter daily, or something you have only observed in zoos or online, what interests you about it?"
1318,"In Turkey, Fingers Point at Americans After Nearly Every Crisis","Like the failed coup in July and the assassination of Russia’s ambassador in December, the New Year’s Day nightclub massacre is suspected of being a C.I.A. plot."
393,Chinese Media Chides Trump on ‘Twitter Foreign Policy’,"China has banned access to Twitter, but it is the country that President-elect Donald J. Trump seems to most enjoy taunting on his personal feed."
285,Questions for: ‘Congress Returns. Republicans Are in Charge. 6 Things to Watch’,What could happen to the Affordable Care Act? Can Democrats block Mr. Trump’s appointees to the cabinet or to the Supreme Court?
